Condition,Area,M_Mean,M_Min,M_Max,M_Int_Den,M_Raw_Int_Den,A_Mean,A_Min,A_Max,A_Int_Den,A_Raw_Int_Den,M_A_Ratio
CHIP CON,NA,6616.395,4624,12272,53288448,53288448,10062.961,3760,31328,64161440,64161440,0.6574998154121834
CHIP CON,NA,6616.395,4624,12272,53288448,53288448,6683.302,1936,24528,47050448,47050448,0.9899889306214205
CHIP CON,NA,6616.395,4624,12272,53288448,53288448,5725.724,1552,20784,33449680,33449680,1.155556048457802
CHIP CON,NA,6616.395,4624,12272,53288448,53288448,8802.928,2608,24064,79508048,79508048,0.7516129860428258
CHIP CON,NA,8008.529,5216,13232,51062384,51062384,7632.332,1952,20224,61470800,61470800,1.0492899155854332
CHIP CON,NA,8008.529,5216,13232,51062384,51062384,10062.961,3760,31328,64161440,64161440,0.7958421979375654
CHIP CON,NA,8008.529,5216,13232,51062384,51062384,6683.302,1936,24528,47050448,47050448,1.1982892588124854
CHIP CON,NA,8008.529,5216,13232,51062384,51062384,5725.724,1552,20784,33449680,33449680,1.3986928115990223
CHIP CON,NA,8008.529,5216,13232,51062384,51062384,8802.928,2608,24064,79508048,79508048,0.909757412533648
CHIP CON,NA,6935.489,4768,13424,48825840,48825840,7632.332,1952,20224,61470800,61470800,0.9086985471805995
CHIP CON,NA,6935.489,4768,13424,48825840,48825840,10062.961,3760,31328,64161440,64161440,0.6892095676411744
CHIP CON,NA,6935.489,4768,13424,48825840,48825840,6683.302,1936,24528,47050448,47050448,1.0377338926177508
CHIP CON,NA,6935.489,4768,13424,48825840,48825840,5725.724,1552,20784,33449680,33449680,1.211285943926043
CHIP CON,NA,6935.489,4768,13424,48825840,48825840,8802.928,2608,24064,79508048,79508048,0.7878616069562309
CHIP CON,NA,6900.53,4736,15728,40312896,40312896,7632.332,1952,20224,61470800,61470800,0.9041181646710337
CHIP CON,NA,6900.53,4736,15728,40312896,40312896,10062.961,3760,31328,64161440,64161440,0.6857355404636866
CHIP CON,NA,6900.53,4736,15728,40312896,40312896,6683.302,1936,24528,47050448,47050448,1.0325030950269791
CHIP CON,NA,6900.53,4736,15728,40312896,40312896,5725.724,1552,20784,33449680,33449680,1.2051803405123962
CHIP CON,NA,6900.53,4736,15728,40312896,40312896,8802.928,2608,24064,79508048,79508048,0.7838903146771165
CHIP CON,NA,7889.49,4992,40848,71257872,71257872,7632.332,1952,20224,61470800,61470800,1.0336932408076587
CHIP CON,NA,7889.49,4992,40848,71257872,71257872,10062.961,3760,31328,64161440,64161440,0.7840127771537623
CHIP CON,NA,7889.49,4992,40848,71257872,71257872,6683.302,1936,24528,47050448,47050448,1.1804778536118823
CHIP CON,NA,7889.49,4992,40848,71257872,71257872,5725.724,1552,20784,33449680,33449680,1.3779026023608543
CHIP CON,NA,7889.49,4992,40848,71257872,71257872,8802.928,2608,24064,79508048,79508048,0.8962347528004319
CHIP CON,NA,6965.503,4816,13024,40643712,40643712,7403.827,2192,17056,43201328,43201328,0.9407976442453342
CHIP CON,NA,6965.503,4816,13024,40643712,40643712,12437.173,3920,40672,106325392,106325392,0.5600551668775532
CHIP CON,NA,6965.503,4816,13024,40643712,40643712,6399.128,2720,14544,59044752,59044752,1.0885081529858442
CHIP CON,NA,6965.503,4816,13024,40643712,40643712,6768.527,3456,22736,25266912,25266912,1.0291017528629198
CHIP CON,NA,6965.503,4816,13024,40643712,40643712,8588.705,2592,19824,104945392,104945392,0.8110073637410995
CHIP CON,NA,8362.63,5520,16624,71492128,71492128,7403.827,2192,17056,43201328,43201328,1.1295009999558334
CHIP CON,NA,8362.63,5520,16624,71492128,71492128,12437.173,3920,40672,106325392,106325392,0.6723899394179046
CHIP CON,NA,8362.63,5520,16624,71492128,71492128,6399.128,2720,14544,59044752,59044752,1.306838994312975
CHIP CON,NA,8362.63,5520,16624,71492128,71492128,6768.527,3456,22736,25266912,25266912,1.2355169743727106
CHIP CON,NA,8362.63,5520,16624,71492128,71492128,8588.705,2592,19824,104945392,104945392,0.9736776382469766
CHIP CON,NA,7482.229,4864,18432,69038528,69038528,7403.827,2192,17056,43201328,43201328,1.0105893884338464
CHIP CON,NA,7482.229,4864,18432,69038528,69038528,12437.173,3920,40672,106325392,106325392,0.6016020682513623
CHIP CON,NA,7482.229,4864,18432,69038528,69038528,6399.128,2720,14544,59044752,59044752,1.1692575925969915
CHIP CON,NA,7482.229,4864,18432,69038528,69038528,6768.527,3456,22736,25266912,25266912,1.1054442126034216
CHIP CON,NA,7482.229,4864,18432,69038528,69038528,8588.705,2592,19824,104945392,104945392,0.8711707993230644
CHIP CON,NA,7653.212,5136,13216,28569440,28569440,7403.827,2192,17056,43201328,43201328,1.0336832559701894
